"symbol","exchange","shortname"
"HYAC","NYQ","Haymaker Acquisition Corp. 4"
"VIOO","PCX",NULL
"FASDF","OEM","FANTASY ACES DAILY FANTASY SPOR"
"GCE","PCX","Clarymore CEF GS Connect ETN"
"CF","NYQ","CF Industries Holdings, Inc."
"ALF","NGM","Centurion Acquisition Corp."
"PCF","NYQ","High Income Securities Fund"
"BSJR","NGM","Invesco BulletShares 2027 High "
"AWF","NYQ","Alliancebernstein Global High I"
"ACVF","PCX","American Conservative Values ET"
"FCF","NYQ","First"
"ICF","BTS","iShares Cohen & Steers REIT ETF"
"CAF","NYQ","Morgan Stanley China A Share Fu"
"CBGZF","PNK",NULL
"CUB","NGM",NULL
"CCLX","OEM",NULL
"CBTG","BTS",NULL
"TDSC","NGM",NULL
"ACFN","OQB","Acorn Energy, Inc."
"AEF","NYQ","27762"
"ECF","NYQ","27623"
"AMCF","OEM","ANDATEE CHINA MARINE FUEL SVCS "
"FVAM","NCM","5:01 Acquisition Corp."
"ACFL","OEM","AMC FINANCIAL HOLDINGS INC"
"ACWF","PCX","iShares MSCI Global Multifactor"
"PCG","NYQ","Pacific Gas & Electric Co."
"AIG","NYQ","American International Group, I"
"AFG","NYQ","American Financial Group, Inc."
"CCCI","OEM",NULL
"CVHSY","PNK",NULL
"TDSB","NGM",NULL
"TDSA","NGM",NULL
"TDSE","NGM",NULL
"OCG","NCM","Oriental Culture Holding LTD"
"CAG","NYQ","ConAgra Brands, Inc."
"AGG","PCX","iShares Core U.S. Aggregate Bon"
"AEG","NYQ","Aegon Ltd. New York Registry Sh"
"CG","NMS","The Carlyle Group Inc."
"TDSD","NGM",NULL
"ASG","NYQ","Liberty All-Star Growth Fund, I"
"AACG","NGM","ATA Creativity Global"
"FCG","PCX","First Trust Natural Gas ETF"
"ACGL","NMS","Arch Capital Group Ltd."
"AJG","NYQ","Arthur J. Gallagher & Co."
"ICABF","PNK",NULL
"CAPV","PNK",NULL
"CBEEF","OEM",NULL
"ICABY","PNK",NULL
"AMG","NYQ","Affiliated Managers Group, Inc."
"AFCG","NGM","Advanced Flower Capital Inc."
"APG","NYQ","APi Group Corporation"
"ALG","NYQ","Alamo Group, Inc."
"PUCKU","PNK","Goal Acquisitions Corp."
"GBDX","OEM",NULL
"RCG","NYQ","153389"
"ACGX","PNK","Alliance Creative Group, Inc."
"AXCG","OEM","EYES ON THE GO INC"
"ACGI","OEM","AMACORE GROUP INC"
"ARRW","NGM","Arrowroot Acquisition Corp."
"LCG","PCX","Sterling Capital Focus Equity E"
"CACG","NGM","ClearBridge All Cap Growth ESG "
"ACSG","PCX","Xtrackers MSCI ACWI ex USA ESG "
"ACGJ","PNK","ACI GLOBAL CORPORATION"
"CAH","NYQ","Cardinal Health, Inc."
"ZWRKU","NCM","Z-Work Acquisition Corp."
"CGC","NMS",NULL
"CVAC","NGM",NULL
"PCH","NMS","PotlatchDeltic Corporation - Co"
"APH","NYQ","Amphenol Corporation"
"ACHV","NCM","Achieve Life Sciences, Inc."
"AWH","NCM","Aspira Women's Health Inc."
"SACH","ASE","Sachem Capital Corp."
"AMH","NYQ","American Homes 4 Rent"
"ECH","BTS","iShares Inc. iShares MSCI Chile"
"ASH","NYQ","Ashland Inc."
"RDVY","NGM","First Trust Rising Dividend Ach"
"AHH","NYQ","Armada Hoffler Properties, Inc."
"BSJO","NGM","Invesco BulletShares 2024 High "
"BCH","NYQ","Banco De Chile"
"ACHL","NCM","Achilles Therapeutics plc"
"PKW","NGM","Invesco BuyBack Achievers ETF"
"PFM","NGM","Invesco Dividend Achievers ETF"
"CACH","OEM","CACHE INC"
"KAPR","BTS","Innovator U.S. Small Cap Power "
"AEI","NCM","Alset Inc."
"CCI","NYQ","Crown Castle Inc."
"API","NMS","Agora, Inc."
"CI","NYQ","The Cigna Group"
"ADI","NMS","Analog Devices, Inc."
"CNC","NYQ",NULL
"ACIU","NGM","AC Immune SA"
"JCI","NYQ","Johnson Controls International "
"ARI","NYQ","Apollo Commercial Real Estate F"
"AGI","NYQ","Alamos Gold Inc."
"GCI","NYQ","Gannett Co., Inc."
"CAPC","OQB",NULL
"WHD","NYQ",NULL
"DCI","NYQ","Donaldson Company, Inc."
"ATI","NYQ","ATI Inc."
"SCI","NYQ","Service Corporation Internation"
"ACWI","NGM","iShares MSCI ACWI ETF"
"CACI","NYQ","CACI International, Inc."
"CRC","NYQ",NULL
"CPAC","NYQ",NULL
"AYI","NYQ","Acuity Brands, Inc."
"ACIW","NMS","ACI Worldwide, Inc."
"HCI","NYQ","HCI Group, Inc."
"RCI","NYQ","Rogers Communication, Inc."
"AWI","NYQ","Armstrong World Industries Inc"
"CDC","NGM",NULL
"MCI","NYQ","Barings Corporate Investors"
"TCI","NYQ","Transcontinental Realty Investo"
"ACIO","BTS","Aptus Collared Investment Oppor"
"TACI","OEM","TRANSATLANTIC CAPITAL INC"
"ACSI","BTS","American Customer Satisfaction "
"CEXPF","OEM",NULL
"ACNI","OEM","AMERICAN COMMUNITY NEWSPAPERS I"
"UCI","PCX","E-TRACS USB Bloomberg Commodity"
"CCJ","NYQ","Cameco Corporation"
"AMJ","PCX","JPMorgan Chase Capital XVI JP M"
"SCJ","PCX","iShares MSCI Japan Sm Cap"
"ALK","NYQ","Alaska Air Group, Inc."
"CDNS","NMS",NULL
"PFIX","PCX",NULL
"HACK","PCX","Amplify ETF Trust Amplify Cyber"
"AWK","NYQ","American Water Works Company, I"
"MCK","NYQ","McKesson Corporation"
"CCK","NYQ","Crown Holdings, Inc."
"JACK","NMS","Jack In The Box Inc."
"IYJ","BTS",NULL
"PACK","NYQ","Ranpak Holdings Corp"
"AOK","PCX","iShares Core 30/70 Conservative"
"AVK","NYQ","Advent Claymore Convertible Sec"
"AFK","PCX","VanEck Africa Index ETF"
"PCK","NYQ","Pimco California Municipal Inco"
"CHD","NYQ",NULL
"CYD","NYQ",NULL
"ASCK","OEM","AUSCRETE CORP"
"LACK","PCX","Direxion Daily Consumer Staples"
"CCL","NYQ","Carnival Corporation"
"RCL","NYQ","Royal Caribbean Cruises Ltd."
"ALL","NYQ","Allstate Corporation (The)"
"SGDJ","PCX",NULL
"CL","NYQ","Colgate-Palmolive Company"
"AFL","NYQ","AFLAC Incorporated"
"AXL","NYQ","American Axle & Manufacturing H"
"ECL","NYQ","Ecolab Inc."
"CAL","NYQ","Caleres, Inc."
"SPGP","PCX",NULL
"ACLS","NMS","Axcelis Technologies, Inc."
"ACRS","NMS","Aclaris Therapeutics, Inc."
"ICL","NYQ","ICL Group Ltd."
"AGL","NYQ","agilon health, inc."
"SCL","NYQ","Stepan Company"
"ARL","NYQ","American Realty Investors, Inc."
"UCL","NGM","uCloudlink Group Inc."
